genre,mfcc,filename
blues,"[-113.619385   121.55302    -19.151056    42.345768    -6.3711677
   18.613033   -13.69206     15.339378   -12.283617    10.973775
   -8.32241      8.8067875   -3.665802 ]",blues.00000.wav
blues,"[-207.58151    123.99715      8.939115    35.870758     2.9199705
   21.518787    -8.555368    23.355938   -10.101037    11.906444
   -5.5581226    5.375942    -2.237833 ]",blues.00001.wav
blues,"[-90.776344  140.44861   -29.10056    31.68734   -13.975973   25.741682
 -13.644712   11.623112  -11.775921    9.700466  -13.115349    5.7857633
  -8.899733 ]",blues.00002.wav
blues,"[-199.462      150.09474      5.649167    26.870144     1.7554406
   14.23688     -4.8288727    9.297849    -0.7531419    8.147393
   -3.1952357    6.085354    -2.4761882]",blues.00003.wav
blues,"[-160.29185    126.19576    -35.6025      22.151169   -32.48764
   10.862022   -23.357162     0.5005233  -11.80477      1.2038777
  -13.085074    -2.8098488   -6.935621 ]",blues.00004.wav
blues,"[-177.88876    118.18953    -17.55073     30.753101   -21.732107
   11.898545   -20.73228      3.176169    -8.57577     -0.9401844
  -11.773799    -2.426076    -9.342486 ]",blues.00005.wav
blues,"[-190.17502     130.29242     -36.348473     33.02909      11.085681
   -0.5963725   -20.882357      0.27711612   -6.5008707    -5.515623
   -7.8452888    -3.123599     -6.595716  ]",blues.00006.wav
blues,"[-179.42007    136.4421     -26.644339    39.97959      5.3018146
   10.921237   -20.555347     8.507477   -11.35436     -3.4690983
   -8.414114    -6.956977    -3.5483482]",blues.00007.wav
blues,"[-121.387115   122.505394   -14.739394    46.135292    -8.160384
   20.17051    -19.169321    23.050188   -11.825939    21.17341
   -6.7202907    7.0050187  -12.739909 ]",blues.00008.wav
blues,"[-213.20453     115.15454     -11.720503     39.032555    -20.357819
   13.089926     -9.180815      9.023639    -14.101025      4.283337
   -6.044196      3.786368      0.22368738]",blues.00009.wav
blues,"[-173.71587    137.14024    -23.767647    26.99174    -16.687662
    4.2143745  -12.582618     5.8545594   -2.884673    -1.186681
   -1.9771539    1.800155    -3.0044115]",blues.00010.wav
blues,"[-287.92355     123.97102       5.456122     33.684544      1.0892011
   14.704721     -4.898606      8.6532755     0.78279775    6.5667357
   -4.87944      -3.1806588    -5.5570035 ]",blues.00011.wav
blues,"[-207.20874     132.79709     -15.460706     60.994865      0.71024126
   12.461279      1.1609277    -1.5278946   -17.901815      8.369234
   -2.4538186    -0.5966887     0.3688165 ]",blues.00012.wav
blues,"[-209.7822     124.46592     10.285805    47.030174     6.4823856
   15.417021    -2.0100777    6.735786   -21.54862     10.7284975
   -5.532432    -2.202038    -3.051727 ]",blues.00013.wav
blues,"[-3.05698578e+02  1.13041626e+02  1.21148996e+01  4.50394440e+01
  1.77392406e+01  1.45946302e+01  4.15712881e+00  2.40098134e-01
 -7.01308823e+00  1.36498432e+01  8.92305756e+00  1.30168986e+00
  5.95212793e+00]",blues.00014.wav
blues,"[-2.3853304e+02  1.2008829e+02 -4.2245555e+00  4.2310043e+01
  5.9163294e+00  1.3914182e+01  5.3575773e+00  1.9037088e+00
 -1.6929880e+01  1.2339311e+01  3.9409604e+00 -1.3906771e+00
  1.4792085e-02]",blues.00015.wav
blues,"[-233.79489    120.66705     -3.1675603   39.53927      3.858855
   18.839672    -3.6889172    4.431845   -14.975372    17.571035
    1.8447447    2.5386066   -1.2386857]",blues.00016.wav
blues,"[-245.75414     140.48093      -2.771439     60.42012      18.9254
    9.837099      3.566577      0.53618747  -16.36736       6.629854
    7.269149     -4.015731      1.6074536 ]",blues.00017.wav
blues,"[-252.51877     104.93699      15.316828     42.67347       6.7626176
   21.623579     -1.313277      5.691933    -16.619516     12.161627
   -1.96795       1.9697651    -0.88895845]",blues.00018.wav
blues,"[-236.6889     138.40428     -4.923575    47.647713     5.152376
    8.895284     0.4828563   -3.8016675  -14.974891    10.432587
   -0.3539615    0.7883455    1.7829303]",blues.00019.wav
blues,"[-230.42657    127.100525     7.1453543   39.784317     1.9449425
   17.40534     -5.639429     8.25213    -18.104383    13.842513
   -3.760913     2.5718598   -4.3208055]",blues.00020.wav
blues,"[-264.67847    138.85834     11.156023    48.538254    14.895925
   20.584368     3.2051423    1.2625881  -15.847021    15.986576
    3.3616717   -1.513741     1.892155 ]",blues.00021.wav
blues,"[-233.85751     136.17209       3.2713184    48.931213      8.685134
   13.97951       5.354868      0.39087027  -13.504575     16.856106
    5.130938     -2.23188       3.9640326 ]",blues.00022.wav
blues,"[-227.26886    137.7307     -14.493466    63.555702     5.612641
   11.984639     1.885552    -1.8633765   -7.6205554   -2.4471745
   -2.886725    -9.429529   -10.923913 ]",blues.00023.wav
blues,"[-2.7431186e+02  1.3041371e+02 -6.3928003e+00  7.0405014e+01
  1.3269141e+01  9.4612837e+00  7.7256413e+00 -1.2474906e+00
 -5.7758832e-01 -2.3025885e+00  3.7831471e+00  8.4823325e-02
 -9.3943596e-01]",blues.00024.wav
blues,"[-249.2894     130.98703      0.67739     66.68578     17.897806
    4.6237364    6.5983076    1.2490499    1.4163896   -1.579142
   -0.9626631   -3.5719957   -2.9279816]",blues.00025.wav
blues,"[-2.8469736e+02  1.0880520e+02  9.0882826e+00  5.1222740e+01
  1.8091757e+01  7.6122608e+00  8.7794991e+00  2.3628290e+00
  5.7864352e-03  2.2509661e+00  4.2050991e+00 -3.2933171e+00
  1.6082983e+00]",blues.00026.wav
blues,"[-228.25066     130.3444      -23.29129      70.1721        1.1422709
    7.6024475     0.90993816    1.9782512    -6.1670074    -9.396024
   -2.562841     -4.5228944    -0.26295036]",blues.00027.wav
blues,"[-248.98674    139.0672     -16.2825      57.117985    20.192654
   10.188038     4.5439763    0.331279    -7.8779507   -3.4479153
   -2.646489    -2.8313823   -0.9021665]",blues.00028.wav
blues,"[-233.75082    101.178276    17.649767    23.733776     2.082033
   25.941923   -16.958849    15.098034   -22.278715     4.3951225
  -23.207403    -6.057175    -5.068857 ]",blues.00029.wav
blues,"[-206.96808    117.792984    23.23588     28.297827    -1.1239153
   18.862036   -21.949682    17.849985   -25.585644     2.129925
  -17.794416    -8.015903   -17.607279 ]",blues.00030.wav
blues,"[-221.83113    110.83949     18.616821    30.920137     3.295923
   22.587362   -20.41635     12.118737   -26.350498    -4.3674846
  -26.413198   -13.045098   -12.654766 ]",blues.00031.wav
blues,"[-288.8077     105.89604     18.777039    23.710392     5.711881
   25.549088   -13.47376     12.428972   -11.942034     1.5714254
  -15.635912    -6.6506157  -11.713253 ]",blues.00032.wav
blues,"[-239.03807     108.6572       34.151894     30.23917      -0.47574335
   27.292637    -21.379398     14.150509    -24.510178     -1.8840461
  -28.050291    -11.25665     -16.47693   ]",blues.00033.wav
blues,"[-217.23868    105.792366    15.617069    25.256382    -1.4402744
   30.18982    -17.71522     17.318172   -27.209528     4.339167
  -20.059492   -10.695945   -14.220667 ]",blues.00034.wav
blues,"[-171.8102     120.280624    15.327537    21.09045     -5.4192963
   24.189465   -24.138222    18.551981   -22.348904     1.3031775
  -20.763931    -4.9888525  -17.118927 ]",blues.00035.wav
blues,"[-200.19609     116.34013      18.00621      25.31356       0.29173443
   24.192478    -22.255909     11.186425    -26.848732     -7.6384597
  -24.889929    -12.015526    -17.017954  ]",blues.00036.wav
blues,"[-328.68088     102.71113      19.895552     26.732681      7.151481
   22.704802     -6.9743266    12.781994    -10.7257805    -0.43366084
  -12.373165     -8.907054     -9.2401085 ]",blues.00037.wav
blues,"[-192.69382     111.18816      21.37331      26.392143     -0.64837533
   23.48088     -25.470797     16.924429    -16.979984      5.79015
  -25.725246     -5.045352    -17.632244  ]",blues.00038.wav
blues,"[-301.70715    111.53472     21.896408    16.14818      8.19624
   22.085075    -8.614954     1.4815574  -17.084372    -8.345809
  -17.013063   -10.57562    -15.689096 ]",blues.00039.wav
